kind,category,item,unit,qty_driver,budget_price,standard_price,upgrade_price,standard_product,standard_link,budget_product,budget_link,upgrade_product,upgrade_link,note
sku-graded,Bathrooms,Vanity 36 in with top,each,primary bath,439.0,779.0,899.0,Collette 30 in. Single Sink Freestanding Bathroom Vanity in Cinnamon Oak with White Carrara Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Collette-30-in-Single-Sink-Freestanding-Bathroom-Vanity-in-Cinnamon-Oak-with-White-Carrara-Marble-Top-Assembled-23016-VS30-CO/327191833,Doveton 30 in. Single Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-30-in-Single-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-30W/320686810,Doveton 60 in. Double Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-60-in-Double-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-60W/321491137,
sku-graded,Bathrooms,Vanity 48 in with top,each,large primary bath,679.0,899.0,899.0,Doveton 60 in. Double Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-60-in-Double-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-60W/321491137,Tobana 42 in. Single Sink Freestanding Weathered Tan Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Glacier-Bay-Tobana-42-in-Single-Sink-Freestanding-Weathered-Tan-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Tobana-42WT/319837774,Doveton 60 in. Double Sink Freestanding White Bath Vanity with White Engineered Marble Top (Assembled),https://apionline.homedepot.com/p/Home-Decorators-Collection-Doveton-60-in-Double-Sink-Freestanding-White-Bath-Vanity-with-White-Engineered-Marble-Top-Assembled-Doveton-60W/321491137,
sku-graded,Bathrooms,"Toilet, elongated 2 pc",each,per bath,189.0,199.0,279.0,Highline Arc 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat,https://apionline.homedepot.com/p/KOHLER-Highline-Arc-12-in-Rough-In-2-Piece-1-28-GFP-Single-Flush-Elongated-Chair-Height-Toilet-in-White-with-Soft-Close-Seat-K-78279-0/307908571,Highline Arc 12 in. Rough In 2-Piece 1.28 GFP Single Flush Round Chair Height Toilet in White with Soft Close Seat,https://apionline.homedepot.com/p/KOHLER-Highline-Arc-12-in-Rough-In-2-Piece-1-28-GFP-Single-Flush-Round-Chair-Height-Toilet-in-White-with-Soft-Close-Seat-K-78253-0/307908573,Gleam 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat,https://apionline.homedepot.com/p/KOHLER-Gleam-12-in-Rough-In-2-Piece-1-28-GFP-Single-Flush-Elongated-Chair-Height-Toilet-in-White-with-Soft-Close-Seat-K-31674-0/312838678,
sku-graded,Bathrooms,Bath sink faucet,each,per bath,99.0,139.0,199.0,Portwood 8 in. Widespread 2-Handle Bathroom Faucet in SpotShield Brushed Nickel,https://apionline.homedepot.com/p/Delta-Portwood-8-in-Widespread-2-Handle-Bathroom-Faucet-in-SpotShield-Brushed-Nickel-35770LF-SP/305436077,Rumson 4 in. Centerset 2-Handle Bathroom Faucet in Matte Black,https://apionline.homedepot.com/p/American-Standard-Rumson-4-in-Centerset-2-Handle-Bathroom-Faucet-in-Matte-Black-7417201-243/313360175,Genta 8 in. Widespread Double Handle Bathroom Faucet with Drain Kit Included in Matte Black (Valve Included),https://apionline.homedepot.com/p/MOEN-Genta-8-in-Widespread-Double-Handle-Bathroom-Faucet-with-Drain-Kit-Included-in-Matte-Black-Valve-Included-84763BL/304923138,
sku-graded,Bathrooms,Tub/shower valve and trim,each,per bath,159.0,202.08,287.65,Arvo In2ition 2-in-1 Rough Included Single-Handle 4-Spray Tub and Shower Faucet 1.75 GPM in Matte Black Valve Included,https://apionline.homedepot.com/p/Delta-Arvo-In2ition-2-in-1-Rough-Included-Single-Handle-4-Spray-Tub-and-Shower-Faucet-1-75-GPM-in-Matte-Black-Valve-Included-144840-BL-I/316417362,Banbury Single Handle 1-Spray Tub and Shower Faucet 1.75 GPM in Spot Resist Brushed Nickel (Valve Included),https://apionline.homedepot.com/p/MOEN-Banbury-Single-Handle-1-Spray-Tub-and-Shower-Faucet-1-75-GPM-in-Spot-Resist-Brushed-Nickel-Valve-Included-82910SRN/305476153,Genta Brushed Nickel Bathroom & Tub/Shower Faucet Combo (Valve Included),https://apionline.homedepot.com/p/sets/MOEN-Genta-Brushed-Nickel-Bathroom-Tub-Shower-Faucet-Combo-Valve-Included/340327281,
sku-graded,Bathrooms,Porcelain tile 12x24,sqft,~45 sqft per bath floor; +50-60 for tiled walls,1.84,2.04,2.77,Wind River Beige 6 in. x 24 in. Porcelain Floor and Wall Tile (14 sq. ft./case),https://apionline.homedepot.com/p/Florida-Tile-Home-Collection-Wind-River-Beige-6-in-x-24-in-Porcelain-Floor-and-Wall-Tile-14-sq-ft-case-CHDEWND016X24/304629803,Baker Wood 6 in. x 24 in. Walnut Glazed Porcelain Floor and Wall Tile (14.55 sq. ft./Case),https://apionline.homedepot.com/p/Daltile-Baker-Wood-6-in-x-24-in-Walnut-Glazed-Porcelain-Floor-and-Wall-Tile-14-55-sq-ft-Case-BK10624HD1PR/313050938,VitaElegante Ardesia 12 in. x 24 in. Porcelain Floor and Wall Tile (15.6 sq. ft. / case),https://apionline.homedepot.com/p/Marazzi-VitaElegante-Ardesia-12-in-x-24-in-Porcelain-Floor-and-Wall-Tile-15-6-sq-ft-case-ULRV1224HD1PR/205473912,
sku-graded,Bathrooms,Medicine cabinet / mirror,each,per bath,99.97,149.02,239.0,16 in. W x 20 in. H Single Door Recessed Medicine Cabinet with Mirror Interior,https://apionline.homedepot.com/p/KOHLER-16-in-W-x-20-in-H-Single-Door-Recessed-Medicine-Cabinet-with-Mirror-Interior-K-CB-CLR1620FS/100675408,"24-3/16 in. W x 24 in. H Framed Surface-Mount Tri-View Bathroom Medicine Cabinet with Mirror, White",https://apionline.homedepot.com/p/Glacier-Bay-24-3-16-in-W-x-24-in-H-Framed-Surface-Mount-Tri-View-Bathroom-Medicine-Cabinet-with-Mirror-White-33157/327338543,Embark 30 in. W x 26 in. H Rectangular Recessed/Surface Mount Medicine Cabinet with Mirror,https://apionline.homedepot.com/p/KOHLER-Embark-30-in-W-x-26-in-H-Rectangular-Recessed-Surface-Mount-Medicine-Cabinet-with-Mirror-R33289-NA/327679758,
sku-fixed,Bathrooms,Bath hardware set,set,per bath,,58.6,,Builders 3-Piece Bath Hardware Set with Towel Bar TP Holder Towel Ring in Brushed Nickel,https://apionline.homedepot.com/p/Glacier-Bay-Builders-3-Piece-Bath-Hardware-Set-with-Towel-Bar-TP-Holder-Towel-Ring-in-Brushed-Nickel-BTH-033-305/320172576,,,,,
sku-graded,Bathrooms,Exhaust fan,each,per bath,119.0,139.0,175.95,80 CFM Ceiling Bathroom Exhaust Fan with Light and 1300-Watt Heater,https://apionline.homedepot.com/p/Broan-NuTone-80-CFM-Ceiling-Bathroom-Exhaust-Fan-with-Light-and-1300-Watt-Heater-765H80L/307638062,Whisper Mighty LED Pick-A-Flow 70-90CFM Ceiling/Wall ENERGY STAR Bathroom Exhaust Fan 9.5 in. x 9.5 in. Grille Footprint,https://apionline.homedepot.com/p/Panasonic-Whisper-Mighty-LED-Pick-A-Flow-70-90CFM-Ceiling-Wall-ENERGY-STAR-Bathroom-Exhaust-Fan-9-5-in-x-9-5-in-Grille-Footprint-RG-M79LA/328748267,XactSense Humidity Sensor Switch (MS-HS3-WH) and Whisper Choice DC 80/110 CFM Bathroom Fan Combo,https://apionline.homedepot.com/p/sets/XactSense-Humidity-Sensor-Switch-MS-HS3-WH-and-Whisper-Choice-DC-80-110-CFM-Bathroom-Fan-Combo/338273462,
sku-graded,Flooring,LVP flooring,sqft,living sqft x 1.1,2.35,2.98,3.28,Dusk Cherry 22 MIL x 8.7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Flooring (20.1 sqft/case),https://apionline.homedepot.com/p/Lifeproof-Dusk-Cherry-22-MIL-x-8-7-in-W-x-48-in-L-Click-Lock-Waterproof-Luxury-Vinyl-Plank-Flooring-20-1-sqft-case-I06204LP/311573441,Lake Annette Oak 12 MIL x 7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Flooring (23.8 sq. ft. / case),https://apionline.homedepot.com/p/Home-Decorators-Collection-Lake-Annette-Oak-12-MIL-x-7-in-W-x-48-in-L-Click-Lock-Waterproof-Luxury-Vinyl-Plank-Flooring-23-8-sq-ft-case-VTRHDLAKANN7X48/307423382,Fresh Oak 22 MIL x 8.7 in. W x 48 in. L Click Lock Waterproof Luxury Vinyl Plank Flooring (20.1 sqft/case),https://apionline.homedepot.com/p/Lifeproof-Fresh-Oak-22-MIL-x-8-7-in-W-x-48-in-L-Click-Lock-Waterproof-Luxury-Vinyl-Plank-Flooring-20-1-sqft-case-I96711LP/309083453,House standard is LVP throughout; carpet only by exception (see Allowances)
sku-fixed,Walls and paint,Drywall 1/2 in 4x8,sheet,sqft x 3.4 / 32 for a full re-rock,,21.98,,1/2 in. x 4 ft. x 8 ft. Mold and Moisture-Resistant Gypsum Board,https://apionline.homedepot.com/p/ToughRock-1-2-in-x-4-ft-x-8-ft-Mold-and-Moisture-Resistant-Gypsum-Board-011932/100322690,,,,,
sku-fixed,Walls and paint,Joint compound 4.5 gal,box,1 per 10 sheets,,17.95,,25 lb. Durabond 90 Setting-Type Joint Compound,https://apionline.homedepot.com/p/USG-Sheetrock-Brand-25-lb-Durabond-90-Setting-Type-Joint-Compound-381630120/202329670,,,,,
sku-fixed,Walls and paint,Drywall tape,roll,1 per 17 sheets,,11.75,,FibaTape Standard White 1-7/8 in. x 300 ft. Self-Adhesive Mesh Drywall Joint Tape,https://apionline.homedepot.com/p/Saint-Gobain-ADFORS-FibaTape-Standard-White-1-7-8-in-x-300-ft-Self-Adhesive-Mesh-Drywall-Joint-Tape-FDW8665-U/100429159,,,,,
sku-fixed,Walls and paint,R-13 wall batt insulation,bag,open walls only,,62.27,,R-15 Faced Fiberglass Insulation Batt 15 in. x 93 in. (1 Bags),https://apionline.homedepot.com/p/Owens-Corning-R-15-Faced-Fiberglass-Insulation-Batt-15-in-x-93-in-1-Bags-ME21/100320346,,,,,
sku-fixed,Walls and paint,Blown-in attic insulation,bag,attic sqft / 60 (R-30 top-up),,27.97,,R- 13 Faced Fiberglass Insulation Roll 15 in. x 32 ft. (1 Roll),https://apionline.homedepot.com/p/Owens-Corning-R-13-Faced-Fiberglass-Insulation-Roll-15-in-x-32-ft-1-Roll-RF10/202585857,,,,,
sku-fixed,Walls and paint,Primer 5 gal,bucket,"1 per ~1,400 sqft new rock",,125.52,,KILZ 2 All Purpose 5 gal. Primer and 4.5 gal. All Purpose Ready-Mixed Joint Compound Combo (2-Piece),https://apionline.homedepot.com/p/sets/KILZ-2-All-Purpose-5-gal-Primer-and-4-5-gal-All-Purpose-Ready-Mixed-Joint-Compound-Combo-2-Piece/344211179,,,,,
sku-graded,Walls and paint,Interior paint 5 gal,bucket,"1 per ~350 sqft floor, 2 coats",130.0,165.0,218.0,"PREMIUM 5 Gal. White Interior/Exterior Primer, Heavy-Duty High Hide Sealer, and Stain Blocker",https://apionline.homedepot.com/p/KILZ-PREMIUM-5-Gal-White-Interior-Exterior-Primer-Heavy-Duty-High-Hide-Sealer-and-Stain-Blocker-13000/100371314,5 gal. Ultra Pure White Ceiling Flat Interior Paint & Primer,https://apionline.homedepot.com/p/BEHR-PREMIUM-PLUS-5-gal-Ultra-Pure-White-Ceiling-Flat-Interior-Paint-Primer-55805/100192072,"KILZ RESTORATION 5 gal. White Interior Primer, Sealer, and Stain Blocker",https://apionline.homedepot.com/p/KILZ-KILZ-RESTORATION-5-gal-White-Interior-Primer-Sealer-and-Stain-Blocker-L200205/203165640,
sku-graded,Doors and trim,"Prehung interior door, 6 panel",each,per opening,128.0,176.0,228.65,30 in. x 80 in 6 Panel Colonist Primed Right-Hand Textured Solid Core Molded Composite MDF Single Prehung Interior Door,https://apionline.homedepot.com/p/JELD-WEN-30-in-x-80-in-6-Panel-Colonist-Primed-Right-Hand-Textured-Solid-Core-Molded-Composite-MDF-Single-Prehung-Interior-Door-THDQC225400566/203497117,24 in. x 80 in. Solid Core White Wood Interior Closet Bi-fold Door,https://apionline.homedepot.com/p/Veranda-24-in-x-80-in-Solid-Core-White-Wood-Interior-Closet-Bi-fold-Door-3114996/205080369,30 in. x 80 in. x 1-3/8 in. Shaker White Primed 2-Panel Solid Core Wood Interior Slab Door,https://apionline.homedepot.com/p/eightdoors-30-in-x-80-in-x-1-3-8-in-Shaker-White-Primed-2-Panel-Solid-Core-Wood-Interior-Slab-Door-70288014803035SH/310969636,
sku-fixed,Doors and trim,Bifold closet door 30 in,each,per closet,,139.0,,30 in. x 80 in. Louver/Louver Solid Core White Painted Pine Wood Bifold Door with Hardware,https://apionline.homedepot.com/p/Veranda-30-in-x-80-in-Louver-Louver-Solid-Core-White-Painted-Pine-Wood-Bifold-Door-with-Hardware-3115003/205080545,,,,,
sku-graded,Doors and trim,Interior knob/lever,each,per door +2 spares,19.47,49.97,60.47,Brandywine Stainless Steel Bed/Bath Door Knob (6-Pack),https://apionline.homedepot.com/p/Defiant-Brandywine-Stainless-Steel-Bed-Bath-Door-Knob-6-Pack-32T8610BD6/302473173,Cove Satin Nickel Keyed Entry Door Knob featuring SmartKey Security and Microban Technology,https://apionline.homedepot.com/p/Kwikset-Cove-Satin-Nickel-Keyed-Entry-Door-Knob-featuring-SmartKey-Security-and-Microban-Technology-T400CV15SMTCPK6/317193530,Juno Satin Nickel Exterior Entry Door Knob and Single Cylinder Deadbolt Combo Pack Featuring SmartKey Security,https://apionline.homedepot.com/p/Kwikset-Juno-Satin-Nickel-Exterior-Entry-Door-Knob-and-Single-Cylinder-Deadbolt-Combo-Pack-Featuring-SmartKey-Security-99910-034/100597328,
sku-fixed,Doors and trim,"Baseboard, primed MDF 12 ft",each,perimeter lf / 12,,21.0,,1 in. x 4 in. x 16 ft. Radiata Pine Finger Primed Softwood Boards,https://apionline.homedepot.com/p/CMPC-1-in-x-4-in-x-16-ft-Radiata-Pine-Finger-Primed-Softwood-Boards-253266/311548328,,,,,
sku-fixed,Doors and trim,Door casing kit,opening,per door/window opening,,19.48,,7827 5/8 in. x 3 1/2 in. x 96 in. Painted PVC Casing (1-Piece − 8 Total Linear Feet),https://apionline.homedepot.com/p/Royal-Mouldings-7827-5-8-in-x-3-1-2-in-x-96-in-Painted-PVC-Casing-1-Piece-8-Total-Linear-Feet-6064558/204342947,,,,,
sku-fixed,Doors and trim,Quarter round 12 ft,each,perimeter lf / 12,,14.98,,White 0.62 in. T x 0.75 in. W x 94.5 in. L Quarter Round Molding,https://apionline.homedepot.com/p/PERFORMANCE-ACCESSORIES-White-0-62-in-T-x-0-75-in-W-x-94-5-in-L-Quarter-Round-Molding-MQND-WHITE/316732234,,,,,
sku-fixed,Doors and trim,Closet organizer kit,closet,per closet,,129.0,,Selectives Wood Laminate Closet Systems,https://apionline.homedepot.com/p/ClosetMaid-Selectives-Wood-Laminate-Closet-Systems/314849269,,,,,
sku-graded,HVAC,Heat pump split system,system,1 per house (size to sqft),3329.0,3329.0,3329.0,DIY 5th Gen 24000 BTU 22.7 Seer2 2-Ton Mini-Split Heat Pump Complete System-25 ft. Pre-Charged Line Set-230-Volt-R454B,https://apionline.homedepot.com/p/MRCOOL-DIY-5th-Gen-24000-BTU-22-7-Seer2-2-Ton-Mini-Split-Heat-Pump-Complete-System-25-ft-Pre-Charged-Line-Set-230-Volt-R454B-DIY-24-HP-WM-230D25-O-CMB/335524456,DIY 5th Gen 24000 BTU 22.7 Seer2 2-Ton Mini-Split Heat Pump Complete System-25 ft. Pre-Charged Line Set-230-Volt-R454B,https://apionline.homedepot.com/p/MRCOOL-DIY-5th-Gen-24000-BTU-22-7-Seer2-2-Ton-Mini-Split-Heat-Pump-Complete-System-25-ft-Pre-Charged-Line-Set-230-Volt-R454B-DIY-24-HP-WM-230D25-O-CMB/335524456,DIY 5th Gen 24000 BTU 22.7 Seer2 2-Ton Mini-Split Heat Pump Complete System-25 ft. Pre-Charged Line Set-230-Volt-R454B,https://apionline.homedepot.com/p/MRCOOL-DIY-5th-Gen-24000-BTU-22-7-Seer2-2-Ton-Mini-Split-Heat-Pump-Complete-System-25-ft-Pre-Charged-Line-Set-230-Volt-R454B-DIY-24-HP-WM-230D25-O-CMB/335524456,"Boxed price excludes heat strips, line set, thermostat: add the scope kit allowance"
sku-fixed,HVAC,Mini split 12k BTU,each,additions/bonus rooms,,1438.0,,"Diamante Pro Low-Ambient 1-Zone 24,000 BTU 21 SEER2 Ductless Mini Split Inverter Heat Pump with 16 ft. Lines 208V/230V",https://apionline.homedepot.com/p/Pioneer-Diamante-Pro-Low-Ambient-1-Zone-24-000-BTU-21-SEER2-Ductless-Mini-Split-Inverter-Heat-Pump-with-16-ft-Lines-208V-230V-WYT024GLSI20RL/336913531,,,,,
sku-fixed,HVAC,Programmable thermostat,each,1 per system,,109.99,,"T5 7-Day Smart Wi-Fi Thermostat with Geofence Technology and Auto Changeover, Energy Star Certified",https://apionline.homedepot.com/p/T5-7-Day-Smart-Wi-Fi-Thermostat-with-Geofence-Technology-and-Auto-Changeover-Energy-Star-Certified-RTH8800WF2022/322082212,,,,,
sku-graded,Plumbing,Water heater 50 gal electric,each,1 per house,529.0,649.0,729.0,Performance 50 Gal. Tall 4500-Watt Double Element Electric Water Heater with  6-Year Warranty,https://apionline.homedepot.com/p/Rheem-Performance-50-Gal-Tall-4500-Watt-Double-Element-Electric-Water-Heater-with-6-Year-Warranty-XE50T06ST45U1/326590448,Performance 38 Gal. Short 4500-Watt Double Element Electric Water Heater with 6-Year Warranty,https://apionline.homedepot.com/p/Rheem-Performance-38-Gal-Short-4500-Watt-Double-Element-Electric-Water-Heater-with-6-Year-Warranty-XE38S06ST45U1/326590457,"Performance 50 Gal. Tall 38,000 BTU Natural Gas Water Heater with 6-Year Warranty",https://apionline.homedepot.com/p/Rheem-Performance-50-Gal-Tall-38-000-BTU-Natural-Gas-Water-Heater-with-6-Year-Warranty-XG50T06EC38U1/326590285,
sku-fixed,Plumbing,Water heater 40 gal gas,each,where gas is the service,,649.0,,Performance 50 Gal. Tall 4500-Watt Double Element Electric Water Heater with  6-Year Warranty,https://apionline.homedepot.com/p/Rheem-Performance-50-Gal-Tall-4500-Watt-Double-Element-Electric-Water-Heater-with-6-Year-Warranty-XE50T06ST45U1/326590448,,,,,
sku-fixed,Plumbing,PEX 1/2 in x 100 ft,roll,3-5 rolls per repipe,,33.3,,1/2 in. x 100 ft. Blue PEX-B Pipe,https://apionline.homedepot.com/p/Apollo-1-2-in-x-100-ft-Blue-PEX-B-Pipe-APPB10012/301541189,,,,,
sku-fixed,Plumbing,PEX 3/4 in x 100 ft,roll,1-2 rolls per repipe,,57.65,,1/2 in. Stainless Steel PEX-B Barb Pinch Clamp Jar (100-Pack),https://apionline.homedepot.com/p/Apollo-1-2-in-Stainless-Steel-PEX-B-Barb-Pinch-Clamp-Jar-100-Pack-PXPC12100JR/301921339,,,,,
sku-fixed,Electrical,200A main breaker load center,each,per panel swap,,240.21,,200 Amp Enclosed 2-Pole Outdoor Circuit Breaker,https://apionline.homedepot.com/p/Eaton-200-Amp-Enclosed-2-Pole-Outdoor-Circuit-Breaker-ECCVH200R/205936221,,,,,
sku-fixed,Electrical,Romex 12/2 x 250 ft,roll,2-3 per rewire,,185.78,,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire and 1/2 in. Romex Metal Staples Combo (500-Pack),https://apionline.homedepot.com/p/sets/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-and-1-2-in-Romex-Metal-Staples-Combo-500-Pack/344238455,,,,,
sku-fixed,Electrical,Romex 14/2 x 250 ft,roll,2-4 per rewire,,165.0,,250 ft. 14/3 Light Blue Solid CerroMax SLiPWire Copper NM -B Wire,https://apionline.homedepot.com/p/Cerrowire-250-ft-14-3-Light-Blue-Solid-CerroMax-SLiPWire-Copper-NM-B-Wire-147-14043G/325078833,,,,,
sku-fixed,Electrical,GFCI outlet 20A,each,kitchen/bath/exterior locations,,26.48,,"20 Amp 125-Volt Duplex SmarTest Self-Test SmartlockPro Tamper Resistant GFCI Outlet, White GFTR2-KW",https://apionline.homedepot.com/p/Leviton-20-Amp-125-Volt-Duplex-SmarTest-Self-Test-SmartlockPro-Tamper-Resistant-GFCI-Outlet-White-GFTR2-KW-R92-GFTR2-0KW/205999867,,,,,
sku-fixed,Electrical,Duplex outlets (10 pack),pack,1-2 per house,,23.48,,"20 Amp Self-Test SmartlockPro Slim Duplex GFCI Outlet, White",https://apionline.homedepot.com/p/Leviton-20-Amp-Self-Test-SmartlockPro-Slim-Duplex-GFCI-Outlet-White-R12-GFNT2-0RW/205996739,,,,,
sku-fixed,Electrical,Switches (10 pack),pack,1 per house,,14.7,,"Claro On/Off Switch with Wallplate, 15-Amp/Single-Pole, White (CA-1PSW-WH)",https://apionline.homedepot.com/p/sets/Lutron-Claro-On-Off-Switch-with-Wallplate-15-Amp-Single-Pole-White-CA-1PSW-WH-CA-1PSW-WH/339311370,,,,,
sku-fixed,Electrical,Smoke detector (10 yr),each,per bedroom + 1 per floor,,64.97,,"Hardwired Smoke and Carbon Monoxide Detector with AA Backup Battery and Interconnect Capability, 30CUAR",https://apionline.homedepot.com/p/Kidde-Hardwired-Smoke-and-Carbon-Monoxide-Detector-with-AA-Backup-Battery-and-Interconnect-Capability-30CUAR-21031529/328175571,,,,,
sku-fixed,Electrical,CO detector,each,1 per floor (fuel appliances),,69.97,,"Hardwired Smoke and Carbon Monoxide Detector with 10-Year Battery Backup and Interconnect Capability, 30CUA10",https://apionline.homedepot.com/p/Kidde-Hardwired-Smoke-and-Carbon-Monoxide-Detector-with-10-Year-Battery-Backup-and-Interconnect-Capability-30CUA10-21031544/328175573,,,,,
sku-graded,Electrical,LED flush mount light,each,per room without fan,49.97,79.97,99.0,1-Pack 1 ft. x 4 ft. 4000 Lumens Dimmable Integrated LED Flat Panel Ceiling Flush Mount Fixture with Selectable 5CCT,https://apionline.homedepot.com/p/Commercial-Electric-1-Pack-1-ft-x-4-ft-4000-Lumens-Dimmable-Integrated-LED-Flat-Panel-Ceiling-Flush-Mount-Fixture-with-Selectable-5CCT-FP1X4-6WY-WH-HDT/320358738,Clarkston II 44 in. LED Indoor Oil Rubbed Bronze Ceiling Fan with Light Kit,https://apionline.homedepot.com/p/Hampton-Bay-Clarkston-II-44-in-LED-Indoor-Oil-Rubbed-Bronze-Ceiling-Fan-with-Light-Kit-SW18030-ORB/307738183,Benning 52 in. Indoor Matte Black Downrod Mount Ceiling Fan with Adjustable White Light LED and Remote Control Included,https://apionline.homedepot.com/p/Hampton-Bay-Benning-52-in-Indoor-Matte-Black-Downrod-Mount-Ceiling-Fan-with-Adjustable-White-Light-LED-and-Remote-Control-Included-85251/334894519,
sku-graded,Electrical,Ceiling fan 52 in,each,bedrooms + living,99.0,139.0,169.0,52 in. Corwin Indoor/Outdoor Matte Black LED Ceiling Fan with Light Kit,https://apionline.homedepot.com/p/Hampton-Bay-52-in-Corwin-Indoor-Outdoor-Matte-Black-LED-Ceiling-Fan-with-Light-Kit-56051/319830773,Benning 52 in. Indoor Matte Black Downrod Mount Ceiling Fan with Adjustable White Light LED and Remote Control Included,https://apionline.homedepot.com/p/Hampton-Bay-Benning-52-in-Indoor-Matte-Black-Downrod-Mount-Ceiling-Fan-with-Adjustable-White-Light-LED-and-Remote-Control-Included-85251/334894519,Merwry 52 in. Integrated LED Indoor Matte Black Ceiling Fan with Light Kit and Remote Control,https://apionline.homedepot.com/p/Home-Decorators-Collection-Merwry-52-in-Integrated-LED-Indoor-Matte-Black-Ceiling-Fan-with-Light-Kit-and-Remote-Control-SW1422MBK/301231214,
sku-graded,Electrical,Vanity light,each,per bath,56.97,79.97,115.35,Woodbury 24 in. 1-Light Brushed Nickel LED Vanity Light with Extra Matte Black Trim 2700K-5000K,https://apionline.homedepot.com/p/Hampton-Bay-Woodbury-24-in-1-Light-Brushed-Nickel-LED-Vanity-Light-with-Extra-Matte-Black-Trim-2700K-5000K-C06023301A/334246488,Ashhurst 3-Light Brushed Nickel Classic Traditional Bathroom Vanity Light with Frosted Glass Shades,https://apionline.homedepot.com/p/Hampton-Bay-Ashhurst-3-Light-Brushed-Nickel-Classic-Traditional-Bathroom-Vanity-Light-with-Frosted-Glass-Shades-EGM1393A-5-BN/203789012,Merrin 23.1 in. 3-Light Black Golden Bathroom Vanity Light with Crystal Shades,https://apionline.homedepot.com/p/ExBrite-Merrin-23-1-in-3-Light-Black-Golden-Bathroom-Vanity-Light-with-Crystal-Shades-THD11VL1301ACGXE26/322270411,
sku-fixed,Landscape,Mulch 2 cu ft,bag,~15-25 bags per front bed refresh,,3.97,,Earthgro 1.5 cu. ft. Black Wood Shredded Bagged Mulch,https://apionline.homedepot.com/p/Earthgro-Earthgro-1-5-cu-ft-Black-Wood-Shredded-Bagged-Mulch-88559180/311613376,,,,,
allowance,Demo and site,"Dumpster pull, 30 yd",,,,475,,,,,,,,"Per pull; 1 per ~1,500 sqft of demo/clutter"
allowance,Structure,WDO/termite inspection,,,,150,,,,,,,,Every project inside the inspection period
allowance,Structure,Termite treatment,,,,1200,,,,,,,,When the WDO comes back active
allowance,Structure,Framing repair allowance,,,,1500,,,,,,,,Sill/joist discovery; scoped per walk
allowance,Kitchen,Fabricated quartz countertop,,,,70,,,,,,,,"Per sqft, special-order quote; HD lists only samples online"
allowance,Siding and exterior,Seamless gutter sub-out,,,,9,,,,,,,,Per lf installed; alternative to sectional
allowance,HVAC,Heat pump scope kit,,,,600,,,,,,,,"Heat strips, line set, thermostat per system"
allowance,Plumbing,"PEX fittings, valves, manifold",,,,400,,,,,,,,Per repipe
allowance,Electrical,Breaker set,,,,300,,,,,,,,Per panel swap
allowance,Electrical,"Misc devices, plates, low-volt",,,,150,,,,,,,,Per house
allowance,Flooring,Carpet (exception only),,,,2.5,,,,,,,,"Per sqft installed, quoted; house standard is LVP"
allowance,Landscape,Landscaping and curb,,,,1000,,,,,,,,Baseline; scoped per walk
